Keywords,Author,Authors,Title,Journal,Year,Total Citations,Citations per Year,label,Degree,ClusterDiversity,Cluster Bridging,Cluster Centrality,id,x_tsne,y_tsne
field|savanna|water,"San Jose, Jose| Nikonova, N.| Brancho, R.","San Jose, Jose; Nikonova, N.; Brancho, R.",Comparison of factors affecting water transfer in a cultivated paleotropical grass (Brachiaria decumbens Stapf) field and a neotropical savanna during the dry season of the Orinoco lowlands,Journal of Applied Meteorology,1998,10,0.476190476,"San Jose, Jose et al., 1998",1,0,0,1,17,126.6240082,-147.7342072
populations|conservation|management,"Shea, Katriona| Amarasekare, Priyanga| Mangel, Marc| Moore, Joslin L.| Murdoch, William W.| Noonburg, Erik| Parma, Ana Maria| Pascual, Mercedes| Possingham, Hugh P.| Wilcox, Chris| Yu, Douglas W.","Shea, Katriona; Amarasekare, Priyanga; Mangel, Marc; Moore, Joslin L.; Murdoch, William W.; Noonburg, Erik; Parma, Ana Maria; Pascual, Mercedes; Possingham, Hugh P.; Wilcox, Chris; Yu, Douglas W.","Management of populations in conservation, harvesting and control",Trends in Ecology and Evolution,1999,109,5.45,"Shea, Katriona et al., 1999",1,0,0,-0.866025404,18,-159.2519073,-332.3061218
community|community structure|pacific|northeast pacific|sediment,"Smith, Craig| Maybaum, H.| Baco, A.| Pope, R.| Carpenter, Stephen R.| Yager, P.| Macko, S.| Deming, J.","Smith, Craig; Maybaum, H.; Baco, A.; Pope, R.; Carpenter, Stephen R.; Yager, P.; Macko, S.; Deming, J.","Sediment community structure around a whale skeleton in the deep Northeast Pacific: Macrofaunal, microbial and bioturbation effects",Deep-Sea Reasearch Part Ii-Topical Studies in Oceanography,1998,50,2.380952381,"Smith, Craig et al., 1998",1,0,0,-0.707106781,19,-309.8227844,-855.199646
restoration ecology|ecology|variation|restoration,"White, Peter S.| Walker, Joan L.","White, Peter S.; Walker, Joan L.",Approximating nature's variation: Selecting and using reference information in restoration ecology,Restoration Ecology,1997,294,13.36363636,"White, Peter S. & Walker, Joan L., 1997",2,0,0,0,20,-213.3354492,139.9132385
cod|populations|survival|coastal,"Bjornstad, Ottar N.| Fromentin, J.| Stenseth, Nils| Gjosaeter, J.","Bjornstad, Ottar N.; Fromentin, J.; Stenseth, Nils; Gjosaeter, J.",A new test for density-dependent survival: The case of coastal cod populations,Ecology,1999,48,2.4,"Bjornstad, Ottar N. et al., 1999",2,0,0,0,21,-253.6444855,-365.93396
cod|trends|cycles|populations,"Bjornstad, Ottar N.| Fromentin, J.| Stenseth, Nils| Gjosaeter, J.","Bjornstad, Ottar N.; Fromentin, J.; Stenseth, Nils; Gjosaeter, J.",Cycles and trends in cod populations,Proceedings of the National Academy of Sciences,1999,114,5.7,"Bjornstad, Ottar N. et al., 1999",3,0,0,0.866025404,22,-209.7844391,-333.1088257
intercohort cannibalism|density|autoregressive moving average (arma)|dependence|dynamics|time series|intracohort competition|populations|coastal|age structured population dynamics|cod|density dependence|gadus morhua|time series analysis,"Stenseth, Nils| Bjornstad, Ottar N.| Falck, W.| Fromentin, J.| Gjosaeter, J.| Gray, John S.","Stenseth, Nils; Bjornstad, Ottar N.; Falck, W.; Fromentin, J.; Gjosaeter, J.; Gray, John S.",Dynamics of coastal cod populations: Intra- and intercohort density dependence and stochastic processes,Proceedings of the Royal Society B-Biological Sciences,1999,74,3.7,"Stenseth, Nils et al., 1999",4,0,0,1.732050808,23,-283.6330872,-311.3950806
patterns|mississippi river|fire|legacy|tornado|volcano|forest ecosystem|mount st. helens|hurricane|landscape|forest|flood|disturbance|yellowstone fires,"Foster, David R.| Knight, Dennis H.| Franklin, Jerry F.","Foster, David R.; Knight, Dennis H.; Franklin, Jerry F.","Landscape patterns and legacies resulting from large, infrequent forest disturbances",Ecosystems,1998,255,12.14285714,"Foster, David R. et al., 1998",1,0,0,1,24,-801.7616577,-263.9093628
patterns|disease|temporal patterns|metapopulation|gene for gene|plant|simulation modeling|pathogen|associations|coevolution|geographic mosaic,"Burdon, Jeremy J.| Thrall, Peter H.","Burdon, Jeremy J.; Thrall, Peter H.",Spatial and temporal patterns in coevolving plant and pathogen associations,American Naturalist,1999,121,6.05,"Burdon, Jeremy J. & Thrall, Peter H., 1999",3,0,0,-0.5,25,693.6563721,534.6953125
patterns|virulence|evolution|parasitoids|geographic variation|resistance|drosophila|coevolution,"Kraaijeveld, A. R.| Godfray, Charles","Kraaijeveld, A. R.; Godfray, Charles",Geographic patterns in the evolution of resistance and virulence in Drosophila and its parasitoids,American Naturalist,1999,109,5.45,"Kraaijeveld, A. R. & Godfray, Charles, 1999",3,0,0,-0.5,26,618.9190674,502.8447876
abundance|community|community structure,"Stevens, Richard D.| Willig, Michael R.","Stevens, Richard D.; Willig, Michael R.","Community structure, abundance, and morphology",Oikos,2000,26,1.368421053,"Stevens, Richard D. & Willig, Michael R., 2000",2,0,0,1.414213562,27,-279.8666992,-815.7130127
dispersal competition trade off|community|metapopulation|colonization|dynamics|host parasitoid dynamics|dispersal|temporal variability|spatial dynamics,"Amarasekare, Priyanga","Amarasekare, Priyanga",Spatial dynamics in a host-multiparasitoid community,Journal of Animal Ecology,2000,46,2.421052632,"Amarasekare, Priyanga, 2000",1,0,0,-0.707106781,28,-257.0474548,-859.9719849
